  [fresh-data] disk cache bypassed; all QB data will be re-fetched on this run (use --allow-stale-cache to override)

==================================================================
  Inventory Forecaster — Pets+People
==================================================================
  Manual projection columns: 05_03_W1 → 10_25_W26

[1/4] Pulling projections from Quickbase ...
      1513 records retrieved

[2/4] Pulling master pack + Season from Styles ...
      1510 master pack records loaded (150 with Season tag)

[2.5] Pulling Amazon catalog POS for 1513 mstyles ...
      1352 mstyles with POS data loaded
      viewer_pos_cache.json refreshed (1352 mstyles)

[2.6] Pulling Amazon Catalog US (F38 signals) for 1513 mstyles ...
      1352 mstyles with Amazon Catalog US signals loaded

[2.8] VP-Q4 forward-PO zero: fetching confirmed open POs in forward 26w window for 1513 keys ...
      [vp-q4] BULK fetch: running QB report #27 on table bp8r4dejr (replaces per-account loop) ...
      [vp-q4] 9,696 rows in 2.8s (1 API call vs ~1 per-account calls)
      [vp-q4] cached → open_pos_report.json (reused for 0h)
      [vp-q4] bucketed 1,902 in-scope rows across 350 keys (skipped: 7,013 out-of-scope · 0 zero-qty · 0 no-date · 781 outside-26w)
      350 keys have confirmed forward POs (total open qty: 137,417 units)

[3/4] Running forecasts ...
      Mstyle-family index: 1232 mstyles with active siblings
      Customer-baseline  : 1 customers  (global median wk-rate: 21.2)
      1513 forecasts complete in 1.1s
      Croston's: 420  Heuristic: 91  Inactive: 366  Inactive (zero order history): 14  Inactive+Floor: 1  Inactive+Floor (R3): 2  Reactivating: 7  Seasonal Baseline: 324  Sparse Intermittent: 288  Bi-weekly enforced: 0  Alerts (>5%): 1113
      Saved → forecast_results.json
      Open viewer: python scripts/viewer.py --results forecast_results.json

[DRY RUN] Skipping write-back.

==================================================================
  COMPLETE  |  1513 records  |  Total 26w demand: 4,249,349
  Models — HW: 0  Croston's: 420  Heuristic: 91  Inactive: 366  Bi-weekly: 0

  ALERTS (1113 records — >5% variance or inactive):
  Key                                   Δ%  Model               AI 26w      Manual
  --------------------------------------------------------------------------------
  1864-BB0009                       +100.0%  Inactive                      0          80
  1864-BB0012                        +88.5%  Sparse Intermittent               12         104
  1864-BB0012AMZ6                    +23.1%  Croston's                    20          26
  1864-BB0012PCS2                   +100.0%  Heuristic                     0         160
  1864-BB0015                        +64.1%  Heuristic                   168         468
  1864-BB0018AMZ6                    +83.2%  Croston's                    48         286
  1864-BB0018EC                      +81.5%  Sparse Intermittent              576       3,120
  1864-BB0018PCS2                   +100.0%  Inactive                      0         363
  1864-BB0079                        +92.1%  Croston's                    78         988
  1864-BB0079AMZ6                    +48.1%  Croston's                    27          52
  1864-BB0080AMZ6                    +35.0%  Reactivating                 52          80
  1864-BB0080EC                      +60.4%  Croston's                 1,356       3,421
  1864-BB0080PCS2                    +97.1%  Seasonal Baseline               15         520
  1864-BB0081                       +100.0%  Heuristic                     0         304
  1864-BB0081AMZ6                    +73.1%  Sparse Intermittent               14          52
  1864-BB0082                       +168.3%  Seasonal Baseline              558         208
  1864-BB0082AMZ6                    +82.5%  Croston's                    50         286
  1864-BB0083                        +70.0%  Croston's                   156         520
  1864-BB0083AMZ2                    +94.2%  Heuristic                    15         260
  1864-BB0083AMZ6                    +98.1%  Croston's                     2         104
  1864-BB0092                        +43.7%  Croston's                 4,548       8,085
  1864-BB0092AMZ12                   +98.1%  Croston's                     5         260
  1864-BB0092PCS12                   +81.5%  Croston's                    24         130
  1864-BB0092PCS2                    +92.3%  Seasonal Baseline               96       1,250
