
============================================================
  [watchdog] Starting forecaster (inner attempt 1/3)
============================================================
  [fresh-data] disk cache bypassed; all QB data will be re-fetched on this run (use --allow-stale-cache to override)

==================================================================
  Inventory Forecaster — Pets+People
==================================================================
  [CData] priming session (getInstructions) ...
  [CData] session ready.
  Manual projection columns: 05_24_W1 -> 11_15_W26

[1/4] Pulling projections from Quickbase ...
      [QB REST] fetching field map ...
      [WARN] 1 columns absent from QB field map (first 5: ['UPSPW'])
      130 records retrieved (QB REST API)

[1.5] Amazon switchover auto-link + Switchover_Date backfill ...

[2/4] Pulling master pack + Season from Styles ...
      [QB REST] fetching Styles field map ...
      130 master pack records loaded (0 with Season tag) (QB REST API)

[2.6c] Retailer POS + OH: fetching for 130 non-Amazon mstyles ...
      49 acct-mstyle combos with retailer POS data

[2.6d] Pulling Inventory Flow (Beg Inv + Recpts + OpenPOs + LT) for 130 mstyles ...
      130 mstyles with Inv Flow data loaded (QB REST API)

[2.8] VP-Q4 forward-PO zero: fetching confirmed open POs in forward 26w window for 130 keys (w1_date=2026-05-24) ...
      [vp-q4] BULK fetch: running QB report #27 on table bp8r4dejr (replaces per-account loop) ...
      [vp-q4] 10,276 rows in 3.9s (1 API call vs ~1 per-account calls)
      [vp-q4] cached → open_pos_report.json (reused for 0h)
      [vp-q4] bucketed 173 in-scope rows across 46 keys (skipped: 10,101 out-of-scope · 0 zero-qty · 0 no-date · 2 outside-26w)
      46 keys have confirmed forward POs (total open qty: 231,266 units)

[2.9] VP-ATS: fetching ATS L26W history for 130 mstyles ...
      [vp-ats] fetching ATS L26W history from bv2sxg2ji (130 mstyles) ...
      [vp-ats] 18 mstyles with ATS history loaded  (982 filtered out)
      18 mstyles loaded, 18 with at least one non-zero ATS week
      Mstyle-family index: 115 mstyles with active siblings
      Customer-baseline  : 1 customers  (global median wk-rate: 96.2)
      Account-cadence    : 1 accounts indexed

[3/4] Running forecasts ...

[2.9] F60 -- EC transition history inheritance ...
      0 EC variants inherited parent history

[2.9b] F69 — DI direct-import sibling history pull ...
      0 DI sibling variant(s) blended into 0 base record(s)
  [watchdog] still running -- 1s since last output | last:       0 DI sibling variant(s) blended into 0 base record(s)
  [F58] Loaded 19 active AI adjustments (last 60 days)
      130 forecasts complete in 2.7s
      Croston's: 3  Heuristic: 2  Inactive: 14  Inactive+Floor: 3  Inactive+S6 (off-price): 1  OTB (zero): 38  Pre-launch NEW (manual passthrough): 4  Reactivating: 5  Seasonal Baseline: 1  Sparse Intermittent: 59  Bi-weekly enforced: 5  Alerts (>7.5%): 114
      [cat-profile gate] 6 profile(s) rejected by SKU gate (need >7 consistent SKUs):
        P2-subcategory 'Cleaning Tools||Microfiber Cloths'      n_skus=5 (filtered 9 records)
        P2-subcategory 'Cleaning Tools||Sponge'                 n_skus=7 (filtered 6 records)
        P2-subcategory 'Air Care||Aerosol'                      n_skus=7 (filtered 4 records)
        P2-subcategory 'Grooming||Paw Care'                     n_skus=3 (filtered 1 records)
        P2-subcategory 'Training||Spray'                        n_skus=4 (filtered 1 records)
        P3-category 'Training'                               n_skus=4 (filtered 1 records)
      Saved → forecast_results.json
      Open viewer: python scripts/viewer.py --results forecast_results.json

[DRY RUN] Skipping write-back.

==================================================================
  COMPLETE  |  130 records  |  Total 26w demand: 492,988
  Models -- Seasonal: 1  Croston's: 3  Heuristic: 2  Inactive: 14  Bi-weekly: 5

  ALERTS (114 records — >7.5% variance or inactive):
  Key                                   Δ%  Model               AI 26w      Manual
  --------------------------------------------------------------------------------
  13640-FF11143                       +0.0%  OTB (zero)                    0         0.0
  13640-SF8168                      +100.0%  Inactive                      0       1,500
  13640-FF5716                      +100.0%  Inactive                      0       1,500
  13640-FF4933                        +0.0%  OTB (zero)                    0         0.0
  13640-FF15585                     +100.0%  Inactive                      0       3,400
  13640-FF15584                      +86.0%  Reactivating                168       1,200
  13640-FF15583                       +0.0%  OTB (zero)                    0         0.0
  13640-FF11899                       +0.0%  OTB (zero)                    0         0.0
  13640-FF4935                        +0.0%  OTB (zero)                    0         0.0
  13640-BB12479                       +0.0%  OTB (zero)                    0         0.0
  13640-BB19109                       +0.0%  OTB (zero)                    0         0.0
  13640-BB19110                       +0.0%  OTB (zero)                    0         0.0
  13640-FF12649                      +24.0%  Sparse Intermittent           11,904       9,600
  13640-FF12653                      +20.0%  Sparse Intermittent            5,760       4,800
  13640-BB22272                     +190.6%  Seasonal Baseline           98,808      34,000
  13640-FF20210                      +86.7%  Sparse Intermittent              720       5,400
  13640-FF10159                      +70.7%  Sparse Intermittent [BW]      12,804       7,500
  13640-BB0473                       +31.3%  Sparse Intermittent            2,748       4,000
  13640-BB16534                      +74.1%  Sparse Intermittent              324       1,250
  13640-BB29714                       +0.0%  OTB (zero)                    0         0.0
  13640-FF10477                      +84.1%  Sparse Intermittent           13,806       7,500
  13640-FF10475                      +17.2%  Sparse Intermittent [BW]       7,032       6,000
  13640-BB21626                      +36.9%  Sparse Intermittent           11,502       8,400
  13640-BB22095                      +30.7%  Sparse Intermittent           14,112      10,800
  13640-BB23576                       +0.0%  OTB (zero)                    0         0.0
  13640-FF8654                        +0.0%  OTB (zero)                    0         0.0
  13640-FF13885                       +0.0%  OTB (zero)                    0         0.0
  13640-FF26777                      +20.0%  Sparse Intermittent            8,640       7,200
  13640-FF31062                      +30.8%  Sparse Intermittent            6,648       9,600
  13640-BB22025                      +55.3%  Sparse Intermittent            5,592       3,600
  13640-BB22094                      +90.2%  Sparse Intermittent            7,608       4,000
  13640-BB0191                        +0.0%  OTB (zero)                    0         0.0
  13640-BB22116                      +70.0%  Sparse Intermittent              360       1,200
  13640-FF10162                      +31.5%  Sparse Intermittent           11,832       9,000
  13640-BB19112                       +0.0%  OTB (zero)                    0         0.0
  13640-BB22118                      +70.0%  Sparse Intermittent              360       1,200
  13640-BB29122                      +70.0%  Sparse Intermittent              360       1,200
  13640-BB30276                       +0.0%  OTB (zero)                    0         0.0
  13640-BB30587                     +100.0%  Inactive                      0         800
  13640-FF20206                     +100.0%  Inactive                      0       3,000
  13640-FF20207                      +24.8%  Heuristic                 2,256       3,000
  13640-FF31061                     +187.0%  Sparse Intermittent [BW]      10,332       3,600
  13640-BB0009                       +82.2%  Sparse Intermittent              480       2,700
  13640-BB0015                       +85.5%  Sparse Intermittent              480       3,300
  13640-BB0018                       +80.0%  Sparse Intermittent              480       2,400
  13640-BB0722                      +100.0%  Inactive                      0      12,600
  13640-BB11603                       +0.0%  OTB (zero)                    0         0.0
  13640-BB22117                      +81.3%  Sparse Intermittent           16,320       9,000
  13640-FF20209                      +57.2%  Sparse Intermittent           12,732       8,100
  13640-BB19113                       +0.0%  OTB (zero)                    0         0.0
  13640-FF31324                     +100.0%  Inactive                      0       2,500
  13640-BB26922                       +0.0%  OTB (zero)                    0         0.0
  13640-BB26921                       +0.0%  OTB (zero)                    0         0.0
  13640-FF8882                        +0.0%  OTB (zero)                    0         0.0
  13640-FF14584                       +0.0%  OTB (zero)                    0         0.0
  13640-BB0759                        +0.0%  OTB (zero)                    0         0.0
  13640-BB0216                       +80.0%  Sparse Intermittent              360       1,800
  13640-BB0217                      +198.8%  Sparse Intermittent           21,510       7,200
  13640-BB12019                       +0.0%  OTB (zero)                    0         0.0
  13640-BB21237                       +0.0%  OTB (zero)                    0         0.0
  13640-BB0080                        +0.0%  OTB (zero)                    0         0.0
  13640-BB0409                       +88.8%  Sparse Intermittent              360       3,200
  13640-BB16537                      +54.3%  Sparse Intermittent              960       2,100
  13640-BB30279                       +8.0%  Sparse Intermittent              324         300
  13640-BB0760                       +85.0%  Sparse Intermittent              360       2,400
  13640-FF31064                     +100.0%  Inactive                      0         900
  13640-BB21644                       +0.0%  OTB (zero)                    0         0.0
  13640-FF7115                       +60.0%  Sparse Intermittent              960       2,400
